DEFI+	Demande de téléphone fixe	Faites une demande de téléphonie fixe (hors création de ligne ou fourniture d'un terminal, à faire au ST via la demande de travaux)	TÉLÉPHONE	téléphonie fixe	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=DREAL		TELEPHONIE NOMADISME ET VISIO	GRE	https://gre-portaildefi.intra.cea.fr/#/
DEFI+	Demande de destruction stockage longue durée	Faites une demande de destruction de stockage longue durée	STOCKAGE	destruction; stockage	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=SLD_DESTRUCTION	Réseaux stockage infra	INFORMATIQUE & RÉSEAUX	GRE	https://gre-portaildefi.intra.cea.fr/#/
DEFI+	Demande Réseau	Faite une demande concernant le réseau	RÉSEAU	réseaux	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=DREAL	Réseaux stockage infra	INFORMATIQUE & RÉSEAUX	GRE	https://gre-portaildefi.intra.cea.fr/#/
DEFI+	Demande de stockage longue durée	Demandez la conservation de données destinées à l'archivage, via la création d'un espace de stockage de longue durée	STOCKAGE	conservation; données; stockage	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=SLD	Réseaux stockage infra	INFORMATIQUE & RÉSEAUX	GRE	https://gre-portaildefi.intra.cea.fr/#/
DEFI+	Imprimantes Multifonctions	Ajoutez, remplacez, déplacez ou retirez une ou plusieurs imprimantes multifonctions	PÉRIPHÉRIQUE	imprimantes	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=IMPRIMANTES	Poste de travail périphériques logiciels	INFORMATIQUE & RÉSEAUX	GRE	https://gre-portaildefi.intra.cea.fr/#/
DEFI+	Boite aux lettres génériques	Demandez la création, la modification ou la supression d'une boite aux lettres générique (avec gestion de la délégation)	MESSAGERIE	boite aux lettres; générique	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=BAL_GENERIQUE	Messagerie	INFORMATIQUE & RÉSEAUX	GRE	https://gre-portaildefi.intra.cea.fr/#/
DEFI+	Calendrier partagé (BAL ressource)	Demandez la création, la modification ou la suppression d'un calendrier (type d'accès + ajout/supression de personnes)	MESSAGERIE	calendrier; partagé	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=BAL_RESSOURCE	Messagerie	INFORMATIQUE & RÉSEAUX	GRE	https://gre-portaildefi.intra.cea.fr/#/
DEFI+	Compte AD administrateur	Demandez la création - prolongation/ suppression d'un compte admin système, réseau ou cogestion dans l'annuaire du CEA	COMPTE	compte; admin; système	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=COMPTE_AD_ADMIN	Comptes, accès , habilitation	INFORMATIQUE & RÉSEAUX	GRE	https://gre-portaildefi.intra.cea.fr/#/
DEFI+	Compte informatique avec messagerie	Demandez la création, la modification / prolongation ou la suppression d'un compte Windows/Mac, UNIX/Linux avec messagerie	COMPTE	compte; windows; mac; unix; linux	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=COMPTE_MESSAGERIE	Comptes, accès , habilitation	INFORMATIQUE & RÉSEAUX	GRE	https://gre-portaildefi.intra.cea.fr/#/
DEFI+	Compte INTRA générique	Demandez la création, prolongation ou suppression d'un compte générique INTRA	COMPTE	compte; générique; INTRA	https://gre-workflowgen.intra.cea.fr/wfgen/show.aspx?QUERY=START&P=COMPTE_INTRA_GEN	Comptes, accès , habilitation	INFORMATIQUE & RÉSEAUX	GRE	https://gre-portaildefi.intra.cea.fr/#/
